busybox,1.25.1,1
busybox,1.1.3,8
busybox,1.1.0,5
busybox,1.3.2,2
busybox,1.25.0,5
busybox,1.00,41
busybox,1.15.0,2
busybox,1.12.1,38
busybox,1.11.2,34
busybox,1.19.3,9
busybox,1.27.2,3
busybox,0.60.0,10
busybox,1.16.1,25
busybox,1.1.2,14
busybox,1.8.2,3
busybox,1.12.0,3
busybox,0.60.4,3
busybox,1.24.2,36
busybox,1.10.4,1
busybox,1.19.2,89
busybox,1.31.1,1
busybox,1.14.4,11
busybox,1.17.4,10
busybox,1.11.0,3
busybox,1.26.2,5
busybox,1.30.1,2
busybox,1.33.1,1
busybox,1.14.1,20
busybox,1.20.2,65
busybox,1.13.1,2
busybox,1.29.3,1
busybox,1.2.1,1
busybox,1.28.4,4
busybox,1.24.1,37
busybox,1.14.2,4
busybox,1.19.4,141
busybox,1.11.1,1
busybox,1.32.1,2
busybox,1.6.1,13
busybox,1.13.4,30
busybox,1.18.2,3
busybox,1.22.1,92
busybox,1.18.5,22
busybox,1.01,186
busybox,1.17.1,1
busybox,1.23.2,128
busybox,1.4.2,19
busybox,1.21.1,288
busybox,1.7.0,2
busybox,1.14.0,3
busybox,1.23.1,13
busybox,1.18.4,5
busybox,1.7.2,41
busybox,1.13.0,58
ipset,6.38,1
ipset,6.24,6
ipset,4.5,266
ipset,6.11,3
ipset,6.30,1
ipset,6.34,2
ipset,6.21,5
ipset,6.32,57
ipset,6.29,9
ipset,4.1,1
ipset,6.36,12
lighttpd,1.4.55,1
lighttpd,1.4.26,1
lighttpd,1.4.28,2
lighttpd,1.4.19,2
lighttpd,1.4.45,1
lighttpd,1.4.30,1
lighttpd,1.4.39,34
lighttpd,1.4.35,11
lighttpd,1.4.48,3
lighttpd,1.4.53,8
lighttpd,1.4.54,16
lighttpd,1.4.59,1
lighttpd,1.4.49,6
lighttpd,1.4.47,1
lighttpd,1.4.18,4
ntp,4.2.2,2
ntp,4.2.6,7
ntp,4.2.8,32
ntp,4.2.4,14
igmpproxy,0.1.2,38
igmpproxy,0.2.1,2
igmpproxy,0.3,4
igmpproxy,0.1,406
updatedd,1.4,1
updatedd,2.3,5
updatedd,2.6,3
updatedd,2.5,26
mtd-utils,1.5.0,78
mtd-utils,1.5.1,42
mtd-utils,1.5.2,38
mtd-utils,1.4.9,1
mtd-utils,1.4.6,6
mtd-utils,2.0.2,55
mtd-utils,2.1.1,7
mtd-utils,2.1.2,2
ppp,2.4.7,32
ppp,2.4.4,8
ppp,2.4.1,20
opkg,0.1.5,3
opkg,0.1.8,118
opkg,0.1.7,1
util-linux,2.21.2,12
util-linux,2.30.2,2
util-linux,2.29.2,37
util-linux,2.25.2,23
util-linux,2.31.1,1
util-linux,2.24.1,19
util-linux,2.18,4
util-linux,2.20.1,9
util-linux,2.23.2,4
attr,2.4.47,4
attr,2.4.48,1
iperf,3.1.3,21
iperf,2.0.5,141
iperf,3.0.11,3
iperf,2.0.2,1
iperf,3.1,1
iperf,3.1.4,5
iperf,2.0.4,8
iperf,2.0.9,1
openssl,1.1.0,9
openssl,1.0.1,94
openssl,1.1.1,21
openssl,0.9.8,62
openssl,1.0.2,243
openssl,1.0.0,19
trace-cmd,2.4.2,7
xz,5.2.1,1
apstats,0.1,167
arptables,0.0.4,1
arptables,0.0.3,21
isc dhcp,4.1.2,1
isc dhcp,4.1.1,1
isc dhcp,4.3.6,2
isc dhcp,4.2.5,4
isc dhcp,4.1,8
dnsmasq,2.80,59
dnsmasq,2.83,16
dnsmasq,2.55,1
dnsmasq,2.45,3
dnsmasq,2.39,12
dnsmasq,2.50,1
dnsmasq,1.10,18
dnsmasq,2.56,1
dnsmasq,2.75,1
dnsmasq,2.15,28
dnsmasq,2.79,4
dnsmasq,2.73,1
dnsmasq,2.67,18
dnsmasq,2.65,5
dnsmasq,2.62,66
dnsmasq,2.40,14
dnsmasq,2.69,72
dnsmasq,2.66,6
dnsmasq,2.41,14
dnsmasq,2.22,3
dnsmasq,2.76,1
dnsmasq,1.18,4
dnsmasq,2.52,3
dnsmasq,2.58,2
dnsmasq,2.72,3
dnsmasq,2.78,90
dnsmasq,2.47,11
dnsmasq,2.49,2
dnsmasq,1.8,3
dnsmasq,2.33,8
dnsmasq,2.81,15
dnsmasq,2.51,11
dnsmasq,2.71,217
ethtool,4.13,1
ethtool,4.5,2
ethtool,2.6.36,9
ethtool,2.6.34,1
ethtool,4.8,71
ethtool,3.4.1,8
ethtool,3.18,18
ethtool,4.19,8
ethtool,3.14,14
ethtool,3.7,11
hyd,1.1,2
i2c-tools,3.1.0,6
i2c-tools,3.0.3,2
i2c-tools,4.1,8
i2c-tools,3.1.2,18
i2c-tools,4.0,3
lbd,1.0,12
lbd,1.1,12
pppoe,3.3,3
pppoe,3.5,24
pppoe,3.11,1
pppoe,3.10,6
pppoe,3.8,115
pppoe,3.7,4
lldp,0.7.15,5
lldp,0.7.7,3
lldp,1.0.1,57
lldp,0.9.9,1
lldp,0.6.0,6
lldp,0.9.46,7
tcpdump,4.9.0,6
tcpdump,4.4.0,12
tcpdump,3.8.3,1
tcpdump,4.9.2,146
tcpdump,4.2.1,23
tcpdump,4.1.1,18
tcpdump,4.9.3,12
tcpdump,3.9.7,6
tcpdump,4.5.1,128
tcpdump,3.9.8,45
wpa_supplicant,2.0,65
wpa_supplicant,0.7.3,2
wpa_supplicant,2.1,5
wpa_supplicant,0.6.10,30
wpa_supplicant,0.4.9,2
wpa_supplicant,0.5.9,141
wpa_supplicant,2.8,31
wpa_supplicant,0.5.7,2
wpa_supplicant,0.6.9,1
wpa_supplicant,2.9,2
wpa_supplicant,2.7,73
wpa_supplicant,2.10,8
wpa_supplicant,2.6,23
wpa_supplicant,0.5.8,1
wpa_supplicant,2.3,10
wpa_supplicant,0.5.5,1
wpa_supplicant,2.5,25
ntfs-3g,2009.4.4,4
ntfs-3g,2010.5.22,2
ntfs-3g,2011.4.12,11
ntfs-3g,2011.1.15,1
ntfs-3g,2010.3.6,1
ntfs-3g,2016.2.22,15
ntfs-3g,2014.2.15,7
ntfs-3g,2010.10.2,4
ntfs-3g,2013.1.13,158
ntfs-3g,2012.1.15,42
ntfs-3g,2015.3.14,44
ntfs-3g,2017.3.23,25
iptables,1.2.7,4
iptables,1.4.4,44
iptables,1.4.5,5
iptables,1.4.2,2
iptables,1.4.21,4
iptables,1.2.8,10
iptables,1.3.5,8
iptables,1.4.10,32
iptables,1.3.8,269
iptables,1.4.6,39
iptables,1.3.7,34
iptables,1.4.3.1,2
iptables,1.3.3,4
iptables,1.2.6,1
iptables,1.4.0,34
iptables,1.4.12.2,7
mcproxy,1.1.0,1
radvd,1.7,124
radvd,2.16,2
radvd,0.9.33.2,18
radvd,1.9.1,9
radvd,1.8.3,14
radvd,1.6,1
radvd,1.0,3
radvd,1.5,90
radvd,0.9.1,27
radvd,1.3,25
radvd,2.10,1
radvd,2.11,10
radvd,2.13,3
radvd,2.0,2
radvd,2.18,1
radvd,1.8,13
radvd,1.1,7
radvd,2.17,1
quagga,0.99.20,1
quagga,0.99.21,3
quagga,0.99.24,36
cpulimit,2.0,1
avahi,0.6.25,11
avahi,0.6.30,12
avahi,0.6.32,1
avahi,0.6.31,55
avahi,0.7,32
poptop,1.7.0,31
poptop,1.3.1,1
poptop,1.1.0,18
poptop,1.3.4,241
poptop,1.8.0,1
poptop,0.8.5,182
poptop,1.7.1,6
poptop,1.4.0,10
poptop,1.6.0,10
poptop,1.9.0,4
poptop,1.7.2,22
bridge-utils,1.5,168
bridge-utils,1.2,65
bridge-utils,1.0.4,22
bridge-utils,1.1,12
bridge-utils,1.0.6,488
ez-ipupdate,3.0.10,21
ez-ipupdate,3.0.11,39
ez-ipupdate,1.48,10
xl2tpd,0.5,41
xl2tpd,0.4,33
openvpn,2.3.10,2
stress,1.0.0,1
stress,1.0.4,18
udpxy,1.0,332
wget,1.11.4,7
wget,1.17.1,2
wget,1.11.1,1
wget,1.16,9
wget,1.14,10
wget,1.10.1,4
wget,1.12,8
wget,1.13.4,1
wget,1.20.1,29
comgt,0.32,263
mmc-utils,4.5,33
rfdformat,2.0.2,23
rfdformat,1.0,5
newfs_hfs,3014.7.28,41
newfs_hfs,3019.3.11,1
ookla,1.2.3,1
ookla,3.7.11.2,2
ookla,3.7.12.37,1
ookla,3.7.7.33,4
ookla,3.5.1,3
ookla,3.7.0.6,3
ookla,1.3.0,1
ookla,3.6.5.2,6
ookla,3.5.6,5
ookla,3.6.1,2
netatalk,3.1.12,2
netatalk,2.2.1,2
netatalk,2.2.5,11
netatalk,3.0.5,35
netatalk,3.1.8,32
dbd,3.0.5,34
dbd,3.1.12,2
uniconv,3.0.5,35
iw,3.14,5
iw,3.15,5
iw,3.17,5
iw,4.3,8
iw,4.14,5
iw,3.6,12
iw,4.9,51
iw,4.7,4
iw,4.1,27
sd-idle,1.00,36
shn_ctrl,1.0.8,36
socat,1.7.3.2,29
socat,1.7.1.2,3
socat,1.7.2.0,1
mkfatfs,3017.7.17.3,16
mkfatfs,3014.9.11,23
linux-ntfs,3016.5.3,7
linux-ntfs,3017.7.18.14,10
linux-ntfs,3017.7.18.13,16
linux-ntfs,2017.3.23,11
linux-ntfs,3017.7.18.4,6
curl,7.58.0,3
curl,7.60.0,4
curl,7.56.1,4
curl,7.54.1,1
curl,7.59.0,144
curl,7.71.1,99
curl,7.51.0,9
curl,7.25.0,1
curl,7.21.7,8
curl,7.57.0,22
curl,7.30.0,4
curl,7.23.1,3
curl,7.50.0,11
curl,7.62.0,6
curl,7.76.0,3
curl,7.36.0,11
curl,7.29.0,104
curl,7.55.1,1
curl,7.40.0,14
curl,7.78.0,2
curl,7.24.0,4
curl,7.32.0,1
curl,7.52.1,41
curl,7.38.0,9
curl,7.66.0,2
curl,7.67.0,17
curl,7.20.0,1
curl,7.23.0,3
curl,7.47.0,2
curl,7.79.0,1
curl,7.64.1,1
wred,1.0.1,34
lantiq,6.0.8.0,2
bluemoon,5.48,1
bluemoon,5.38,74
bluemoon,5.47,1
bluemoon,5.37,6
bluemoon,5.41,5
btconfig,4.01,5
btconfig,2.14,5
jitterentropy-rngd,1.2.2,5
e2fsprogs,1.42.12,1
e2fsprogs,1.41.11,25
e2fsprogs,1.43.1,11
e2fsprogs,1.42.8,4
e2fsprogs,1.38,1
e2fsprogs,1.43.8,2
e2fsprogs,1.42.4,3
e2fsprogs,1.42.13,31
e2fsprogs,1.41.9,1
sample.bin,1.0.8,37
conntrack,1.0.1,1
conntrack,1.4.4,1
conntrack,1.4.5,26
conntrack,1.0.0,29
stubby,0.3.0,3
dropbear,2011.54,62
dropbear,2019.78,42
dropbear,2018.76,25
dropbear,2014.63,15
dropbear,2015.67,17
dropbear,2012.55,23
dropbear,2016.74,37
dropbear,2017.75,302
dropbear,2015.68,1
wd_keepalive,5.6,1
nbtscan,1.5.1,12
nbtscan,1.0.35,1
smtpclient,1.0.0,18
smtpclient,1.0.1,2
coreutils,6.9,5
ddns,0.3.4.2,9
ddns,0.1,4
udhcp,0.9.6,1
udhcp,0.9.8,15
udhcp,0.9.7,9
udhcp,0.9.9,3
ne3_regrw_io,2.0.3,5
ne3ext_avol,2.0.5,5
ne3ext_hdmi,2.0.0,5
ne3ext_vdec,2.0.0,5
ne3ext_venc,2.0.1,5
ne3sysparam,2.0.5,5
ne3logsave,1.0.0,5
ne3memdump,1.0.0,5
dnrd,2.20.3,74
dnrd,2.10,18
dnrd,2.19,23
dnrd,2.12.1,15
gdb,7.4.1,2
gdb,8.3.1,4
gdb,7.2,4
gdb,7.11.1,1
gdb,6.8,2
gdb,6.7.1,1
gdb,7.5.1,1
gdb,6.6,19
gdb,7.1,1
isatapd,0.9.6,1
gzip,1.5,8
gzip,1.6,9
sed,2.05,1
sed,4.2.1,9
sed,4.0,1
sed,4.4,5
sed,4.2.2,4
binutils,2.36,3
binutils,2.22,3
binutils,2.31.1,1
binutils,2.34,2
strace,4.13,11
strace,4.8,18
strace,4.6,4
strace,4.5.18,22
strace,4.10,2
strace,4.5.20,8
strace,4.7,15
alsa,1.0.25,13
alsa,1.0.26,9
bzip2,1.0.6,8
gnu make,3.81,9
tar,1.29,2
tar,1.23,1
tar,1.26,7
tar,1.13,5
pciutils,3.0.0,5
pciutils,3.6.2,2
pciutils,3.4.1,2
pciutils,2.2.9,1
pciutils,3.2.0,1
pciutils,3.5.6,2
inetutils,1.5,1
inetutils,1.4.1,2
dosfsck,3.0.12,3
dosfsck,2.11,5
dosfsck,3.0.9,6
wlxmlpatch,2.0,17
nameresolv,1.0,7
lrzsz,0.12.20,55
samba,3.6.9,1
samba,3.0.14,19
samba,3.0.24,1
samba,3.0.25,3
samba,3.0.27,1
samba,3.0.28,1
samba,3.6.22,8
samba,3.0.3,2
ate daemon,2.0.2,1
ate daemon,1.4.0,1
ate daemon,1.2.2,61
gptfdisk,1.0.1,1
gptfdisk,1.0.3,2
dev_discover,1.0.0,5
mtools,3.9.10,15
mtools,4.0.10,3
zip,3.0,8
bftpd,3.6,1
bftpd,4.3,8
bftpd,4.4,4
sysstat,11.5.3,6
sysstat,10.1.6,18
sysstat,11.6.1,1
sysstat,10.1.7,18
sysstat,9.0.4,2
sysstat,8.0.1,26
sysstat,11.0.4,1
sysstat,10.1.1,53
sysstat,9.0.6,4
hdparm,9.43,19
picocom,1.7,5
amule,2.3.1,4
transmission,2.83,28
transmission,2.76,2
transmission,2.82,22
transmission,2.73,1
transmission,2.84,30
transmission,2.71,1
bc,1.06.95,3
bc,1.06,3
inotify-tools,3.14,2
jq,1.5,41
ndp proxy,0.2.3,3
ndp proxy,0.2.4,38
parted,3.0,3
ssmtp,2.64,10
wifidog,1.2.1,10
wifidog,1.1.3,1
php,4.4.0,1
php,5.6.36,2
mailsend,1.15,10
mailsend,1.17,4
mailsend,1.16,1
u-boot,1.0.0,1
u-boot,2012.10,3
bpalogin,2.0.2,11
con2tel,1.0,1
arp,1.88,23
arp,1.85,3
vnstat,1.11,1
procps,3.3.11,32
ngrep,1.45,1
logrotate,3.8.1,2
logrotate,3.10.0,9
aescrypt,3.10,1
aescrypt,3.13,2
webd,1.0,1
connection_mgr,0.1.1,1
mtd re-flash tool,1.0,1
rdb_manager,0.1.1,1
simple_at_manager,0.1.1,1
ttyportdet,0.1,1
uclinux,3.0.0,7
open-plc-utils,2.0.8,4
mini_httpd,1.24,3
mini_httpd,1.19,17
libqrencode,3.4.4,1
libqrencode,3.3.0,2
xdslctl,1.0,4
xdslctl,1.2,9
xtmctl,2.0,2
xtmctl,2.1,1
xtmctl,1.0,1
xtmctl,2.3,4
xtmctl,2.5,5
totd,1.5.2,3
cpu,1.0.0,10
getoid,1.5.1.0,2
paed,5.2.12.0,2
setoid,1.5.1.0,2
ecmh,2005.02.09,7
p910nd,0.94,5
p910nd,0.95,194
p910nd,0.97,9
p910nd,0.93,18
snarf,7.0,5
htmlget,1.0,4
artmtd,0.1,1
proftpd,1.3.3,5
proftpd,1.3.4,42
proftpd,1.3.6,1
libfuse,2.7.3,25
libfuse,2.7.4,3
libfuse,2.8.5,2
wol,0.5.1,5
watchdog,5.6,7
haserl,0.9.35,1
haserl,0.9.27,5
libiconv,1.11,15
io utility,2.0,3
ffmpeg,1.0,7
ffmpeg,2.6.2,1
thttpd,2.25,4
cgi-wrapper,10.5,1
cgi-wrapper,10.8.1,1
hiawatha,10.8.1,1
wigwam,10.5,1
wigwam,10.8.1,1
memtester,4.0.6,25
memtester,4.1.3,7
memtester,4.0.8,5
memtester,4.3.0,10
rsyslog,8.2010.0,3
rsyslog,8.18.0,3
jpegtoavi,1.5,9
bind-9,9.11.27,4
bash,4.4.12,1
tinylogin,1.4,4
ltrace,0.5.3,4
bootlogd,2.86,44
mklost+found,1.43.9,1
mklost+found,1.42.8,4
mklost+found,1.42.1,4
mklost+found,1.42.13,1
nfs-utils,1.1.5,67
nfs-utils,1.2.3,4
lzma,4.65,82
alinkgw,2.0.1,2
alinkgw,1.0.1412,5
gpon optic control,6.4.1,2
ipwatchd,1.2,2
nginx,1.5.11,29
nginx,1.8.1,10
nginx,1.8.0,6
nginx,1.2.2,5
nginx,1.4.7,3
nginx,0.3.7,7
inadyn,1.96.2,3
inadyn,1.96,5
map,1.0,2
dnscrypt-proxy,1.3.3,10
dnscrypt-proxy,1.4.0,60
dnscrypt-proxy,1.3.4,38
dnscrypt-proxy,1.4.1,62
hostip,1.3.4,38
hostip,1.4.1,62
hostip,1.3.3,10
hostip,1.4.0,60
portmap,6.0,68
tor,0.2.4.20,92
tor,0.2.3.25,3
mdadm,2.6,48
lsattr,1.42.13,1
debugfs,1.42.8,4
debugfs,1.42.13,1
freeradius,2.2.6,1
usbip-utils,1.1.1,1
crytool,1.0.1,19
dwds_ctl,0.1.1,3
sshpass,1.06,17
npd6,1.0.0,2
npd6,1.1.0,31
kbd,2.0.2,10
pimd,2.1.8,10
net-snmp,5.7.3,116
net-snmp,5.7.2,80
net-snmp,5.1.2,3
net-snmp,5.5,2
net-snmp,5.8,20
zic.c,8.25,52
mongo,3.4.10,11
mongo,1.0.0,1
qrngd,1.01,11
qrngtest,1.00,11
dbus,1.8.10,3
atcmdsrv,3.0.0,2
upgrade,1.0.5,2
luajit,2.0.4,1
atmarp,2.4.0,4
port-scan,1.4,1
uvm,0.8.0.102,1
uvm,0.8.0.109,1
import utility,1.01,3
wcn,1.0.0,2
openssh,7.0,3
redis,3.2.8,4
tftp-hpa,0.48,5
renew ethernet daemon,2.2,6
forked,23.2,1
arp-scan,1.9,1
logd,0.1,4
gnutls,2.12.23,2
upgraded,0.0.5,2
ccrypt,1.9,1
vsntp,1.0,3
miniigd,1.01,1
ipcmk,2.31.1,1
dhcp-forwarder,0.10,3
